La Paŭlo estis vere sentema persono.	Ĉu korektaj elementoj por vorto "sentema" estas "sen'tem'a"
La diskuto pri projektoj rapide fariĝis sentema babilado	Ĉu korektaj elementoj por vorto "sentema" estas "sen'tem'a"?
La Paŭlo estis vere sentema persono.	Ĉu korektaj elementoj por vorto "sentema" estas "sent'em'a"
La diskuto pri projektoj rapide fariĝis sentema babilado	Ĉu korektaj elementoj por vorto "sentema" estas "sent'em'a"?
Piron mi donis al mia frato	Ĉu "Piron" estas ĉi tie propra nomo?
Piron mi donis al mia frato	Ĉu "Piron" estas ĉi tie en akuztivo?
Piron faris dum sia vivo tre multe por Esperanto	Ĉu "Piron" estas ĉi tie propra nomo?
Piron faris dum sia vivo tre multe por Esperanto	Ĉu "Piron" estas ĉi tie en akuztivo?
Por mi estas tre ĝoje aŭdi tion.	Ĉu "por" estas ĉi tie prepozicio?
Tie ĉi mi havas nenion por min protekti.	Ĉu "por" estas ĉi tie subjunkcio?
Por mi estas tre ĝoje aŭdi tion.	Ĉu "por" estas ĉi tie subjunkcio?
Tie ĉi mi havas nenion por min protekti.	Ĉu "por" estas ĉi tie prepozicio?
Mi renkontis lin en bona humoro.	Ĉu "bona humoro" estas stato de li?
Mi renkontis lin en granda salono.	Ĉu "granda salono" estas loko de evento?
Mi renkontis lin en bona humoro.	Ĉu "bona humoro" estas loko de evento?
Mi renkontis lin en granda salono.	Ĉu "granda salono" estas stato de li?
